First Name,Last Name,Title,Country,Company,Industry
,,VP of compliance,"Glendale, Arizona",,
,,VP of compliance,"Little Rock, Arkansas",,
,,VP of compliance,"Fayetteville, Arkansas",,
,,VP of compliance,"Fort Smith, Arkansas",,
,,VP of compliance,"Springdale, Arkansas",,
,,VP of compliance,"Jonesboro, Arkansas",,
,,VP of compliance,"Rogers, Arkansas",,
,,VP of compliance,"Los Angeles, California",,
,,VP of compliance,"San Diego, California",,
,,VP of compliance,"San Jose, California",,
,,VP of compliance,"San Francisco, California",,
,,VP of compliance,"Fresno, California",,
,,VP of compliance,"Sacramento, California",,
,,VP of compliance,"Denver, Colorado",,
,,VP of compliance,"Colorado Springs, Colorado",,
,,VP of compliance,"Aurora, Colorado",,
,,VP of compliance,"Fort Collins, Colorado",,
,,VP of compliance,"Lakewood, Colorado",,
,,VP of compliance,"Thornton, Colorado",,
,,VP of compliance,"Bridgeport, Connecticut",,
,,VP of compliance,"New Haven, Connecticut",,
,,VP of compliance,"Stamford, Connecticut",,
,,VP of compliance,"Hartford, Connecticut",,
,,VP of compliance,"Waterbury, Connecticut",,
,,VP of compliance,"Norwalk, Connecticut",,
,,VP of compliance,"Wilmington, Delaware",,
,,VP of compliance,"Dover, Delaware",,
,,VP of compliance,"Newark, Delaware",,
,,VP of compliance,"Middletown town, Delaware",,
,,VP of compliance,"Smyrna town, Delaware",,
,,VP of compliance,"Milford, Delaware",,
,,VP of compliance,"Washington, District of Columbia",,
,,VP of compliance,"Jacksonville, Florida",,
,,VP of compliance,"Miami, Florida",,
,,VP of compliance,"Tampa, Florida",,
,,VP of compliance,"Orlando, Florida",,
,,VP of compliance,"St. Petersburg, Florida",,
,,VP of compliance,"Port St. Lucie, Florida",,
,,VP of compliance,"Atlanta, Georgia",,
,,VP of compliance,"Columbus, Georgia",,
,,VP of compliance,"Augusta-Richmond County consolidated government (balance), Georgia",,
,,VP of compliance,"Macon-Bibb County, Georgia",,
,,VP of compliance,"Savannah, Georgia",,
,,VP of compliance,"Athens-Clarke County unified government (balance), Georgia",,
,,VP of compliance,"Urban Honolulu CDP, Hawaii",,
,,VP of compliance,"Boise City, Idaho",,
,,VP of compliance,"Meridian, Idaho",,
,,VP of compliance,"Nampa, Idaho",,
,,VP of compliance,"Idaho Falls, Idaho",,
,,VP of compliance,"Caldwell, Idaho",,
,,VP of compliance,"Pocatello, Idaho",,
,,VP of compliance,"Chicago, Illinois",,
,,VP of compliance,"Aurora, Illinois",,
,,VP of compliance,"Joliet, Illinois",,
,,VP of compliance,"Naperville, Illinois",,
,,VP of compliance,"Rockford, Illinois",,
,,VP of compliance,"Springfield, Illinois",,
,,VP of compliance,"Indianapolis (balance), Indiana",,
,,VP of compliance,"Fort Wayne, Indiana",,
,,VP of compliance,"Evansville, Indiana",,
,,VP of compliance,"South Bend, Indiana",,
,,VP of compliance,"Fishers, Indiana",,
,,VP of compliance,"Carmel, Indiana",,
,,VP of compliance,"Des Moines, Iowa",,
,,VP of compliance,"Cedar Rapids, Iowa",,
,,VP of compliance,"Davenport, Iowa",,
,,VP of compliance,"Sioux City, Iowa",,
,,VP of compliance,"Iowa City, Iowa",,
,,VP of compliance,"Ankeny, Iowa",,
,,VP of compliance,"Wichita, Kansas",,
,,VP of compliance,"Overland Park, Kansas",,
,,VP of compliance,"Kansas City, Kansas",,
,,VP of compliance,"Olathe, Kansas",,
,,VP of compliance,"Topeka, Kansas",,
,,VP of compliance,"Lawrence, Kansas",,
,,VP of compliance,"Louisville/Jefferson County metro government (balance), Kentucky",,
,,VP of compliance,"Lexington-Fayette urban county, Kentucky",,
,,VP of compliance,"Bowling Green, Kentucky",,
,,VP of compliance,"Owensboro, Kentucky",,
,,VP of compliance,"Covington, Kentucky",,
,,VP of compliance,"Georgetown, Kentucky",,
,,VP of compliance,"New Orleans, Louisiana",,
